Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,0.05105723204536644,-0.01472644119587585,-0.05217815573073281,
0.002,0.03126898219047711,-0.013696512453770904,-0.04557324357872794,
0.004,0.013523016849030844,-0.010957209963016634,-0.03262787586884208,
0.006,0.001241604072944158,-0.0068504084733431725,-0.012694402745855982,
0.007999966,0.0029086427554256417,-0.0016496077845338242,0.0013366347857370897,
0.009999066,0.004242279661875306,0.0025110327665136545,0.010645723844215027,
0.011997899,0.005309183226570549,0.005839545207351637,0.016178017063653627,
0.013996999,0.006162706078326752,0.006586995662951622,0.018688873611861112,
0.015996965,0.004930164862661401,0.007184956027431522,0.011120379895348975,
0.017996931,0.002028772393058806,0.007663324319015619,-6.808750387996554E-4,
0.019996897,-0.009869150988903785,0.006130659455212406,-0.021613273029087665,
0.021996863,-0.028964293140289907,0.002989168067099701,-0.04793637037639442,
0.023996863,-0.04424041282186328,0.002391334453679672,-0.07091058922103777,
0.025996896,-0.06029202756126259,0.0038284270600139614,-0.08737422332995592,
0.027996929,-0.07121795985571172,0.004978101145081126,-0.09671441162294947,
0.029997862,-0.07804333427327179,0.005897840413135569,-0.10035584326320368,
0.031997895,-0.0777575553161089,0.006633631827579034,-0.09752329155392125,
0.033997928,-0.06795214658595597,0.007222264959133362,-0.08184935223727763,
0.035997961,-0.0562770767658351,0.007693171464377091,-0.05781804380154121,
0.037997994,-0.04310630191559775,0.008069896668572163,-0.03476227805881038,
0.039997994,-0.02873893919940934,0.00645591733485773,-0.010571205503689285,
0.04199796,-0.01724507286831653,0.005164733867886184,0.006865911573610717,
0.043997926,-0.00804997980344227,0.004131787094308947,0.01698488624131045,
0.045997892,-0.0026092529276842413,0.0013900701783766678,0.023165087948125773,
0.047997858,0.005574035646133874,-0.0046340223485095144,0.014701351364360349,
0.049996958,0.010205318929046997,-0.0075379368729482366,0.009845340124691404,
0.051996058,0.011994974137378211,-0.009861068492499125,0.005961294072410084,
0.053995158,0.013426698304043194,-0.011719573788139925,0.0028532942911319026,
0.055994258,0.014572089558304135,-0.01129101852758252,3.6765740556177207E-4,
0.057994224,0.02314984054999414,-0.010948174319136417,0.004124844918589332,
0.059994257,0.03192740084041645,-0.008758539455309133,0.01096131392315236,
0.06199429,0.040864808569824634,-0.00892219106131753,0.02217618614828787,
0.063994323,0.051845453747491776,-0.0071377528490539355,0.040725262883473334,
0.065994356,0.05871462231348412,-0.005710202279243237,0.05364954624427831,
0.067994389,0.06037922625120845,-0.0064835213204648134,0.06973466995440702,
0.069995289,0.0617109094013879,-0.009017536050512476,0.08068702795571348,
0.071996189,0.05894553692739084,-0.007214028840409892,0.08753393632941453,
0.073997055,0.04907178903898299,-0.005771223072327913,0.08726576600689029,
0.075997055,0.0392574312311864,-0.004616978457862242,0.0793890288211383,
0.077997055,0.027575220030344016,-0.005608942263360284,0.06542696402370751,
0.079997055,0.01822945703013458,-0.0064025133077585394,0.048510852224826095,
